image_id,label
color\yellow\sub_image_2_100_0_2.jpg,0
color\yellow\sub_image_2_16_1_2.jpg,0
color\yellow\sub_image_2_17_0_1.jpg,0
color\yellow\sub_image_2_28_1_0.jpg,0
color\yellow\sub_image_2_28_2_0.jpg,0
color\yellow\sub_image_2_30_0_0.jpg,0
color\yellow\sub_image_2_31_1_1.jpg,0
color\yellow\sub_image_2_31_1_2.jpg,0
color\yellow\sub_image_2_32_1_2.jpg,0
color\yellow\sub_image_2_32_2_0.jpg,0
color\yellow\sub_image_2_33_2_2.jpg,0
color\yellow\sub_image_2_34_2_2.jpg,0
color\yellow\sub_image_2_36_0_1.jpg,0
color\yellow\sub_image_2_36_2_2.jpg,0
color\yellow\sub_image_2_37_0_1.jpg,0
color\yellow\sub_image_2_37_1_1.jpg,0
color\yellow\sub_image_2_39_0_0.jpg,0
color\yellow\sub_image_2_39_1_2.jpg,0
color\yellow\sub_image_2_3_1_0.jpg,0
color\yellow\sub_image_2_40_0_0.jpg,0
color\yellow\sub_image_2_40_2_2.jpg,0
color\yellow\sub_image_2_42_0_1.jpg,0
color\yellow\sub_image_2_42_2_2.jpg,0
color\yellow\sub_image_2_44_1_0.jpg,0
color\yellow\sub_image_2_44_1_1.jpg,0
color\yellow\sub_image_2_44_1_2.jpg,0
color\yellow\sub_image_2_45_0_0.jpg,0
color\yellow\sub_image_2_45_2_1.jpg,0
color\yellow\sub_image_2_47_0_2.jpg,0
color\yellow\sub_image_2_47_2_0.jpg,0
color\yellow\sub_image_2_48_0_2.jpg,0
color\yellow\sub_image_2_48_2_1.jpg,0
color\yellow\sub_image_2_49_0_2.jpg,0
color\yellow\sub_image_2_49_2_1.jpg,0
color\yellow\sub_image_2_50_0_2.jpg,0
color\yellow\sub_image_2_50_2_1.jpg,0
color\yellow\sub_image_2_51_1_0.jpg,0
color\yellow\sub_image_2_51_1_1.jpg,0
color\yellow\sub_image_2_51_1_2.jpg,0
color\yellow\sub_image_2_54_0_0.jpg,0
color\yellow\sub_image_2_54_2_2.jpg,0
color\yellow\sub_image_2_55_1_0.jpg,0
color\yellow\sub_image_2_55_2_2.jpg,0
color\yellow\sub_image_2_56_0_1.jpg,0
color\yellow\sub_image_2_56_1_1.jpg,0
color\yellow\sub_image_2_56_2_1.jpg,0
color\yellow\sub_image_2_58_1_2.jpg,0
color\yellow\sub_image_2_58_2_0.jpg,0
color\yellow\sub_image_2_60_1_0.jpg,0
color\yellow\sub_image_2_61_0_0.jpg,0
color\yellow\sub_image_2_61_0_2.jpg,0
color\yellow\sub_image_2_62_0_0.jpg,0
color\yellow\sub_image_2_62_1_1.jpg,0
color\yellow\sub_image_2_63_0_1.jpg,0
color\yellow\sub_image_2_63_1_0.jpg,0
color\yellow\sub_image_2_64_1_2.jpg,0
color\yellow\sub_image_2_65_2_0.jpg,0
color\yellow\sub_image_2_65_2_2.jpg,0
color\yellow\sub_image_2_66_1_2.jpg,0
color\yellow\sub_image_2_67_1_1.jpg,0
color\yellow\sub_image_2_67_2_0.jpg,0
color\yellow\sub_image_2_69_1_0.jpg,0
color\yellow\sub_image_2_70_1_2.jpg,0
color\yellow\sub_image_2_70_2_1.jpg,0
color\yellow\sub_image_2_71_1_0.jpg,0
color\yellow\sub_image_2_72_0_0.jpg,0
color\yellow\sub_image_2_72_0_2.jpg,0
color\yellow\sub_image_2_73_0_0.jpg,0
color\yellow\sub_image_2_73_1_1.jpg,0
color\yellow\sub_image_2_74_0_1.jpg,0
color\yellow\sub_image_2_75_0_0.jpg,0
color\yellow\sub_image_2_76_2_0.jpg,0
color\yellow\sub_image_2_76_2_2.jpg,0
color\yellow\sub_image_2_77_1_2.jpg,0
color\yellow\sub_image_2_78_0_1.jpg,0
color\yellow\sub_image_2_78_1_0.jpg,0
